,,,,date,round,day,venue,result,GF,GA,opponent,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,time
,,,,,,,,,,,,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,
league,season,team,game,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1819,Brighton,2019-03-02 Brighton-Huddersfield,2019-03-02,Matchweek 29,Sat,Home,W,1,0,Huddersfield,24,20,4,0,0,0,0,2,2,0,0,0,0,0,15:00:00
ENG-Premier League,1819,Brighton,2019-03-09 Crystal Palace-Brighton,2019-03-09,Matchweek 30,Sat,Away,W,2,1,Crystal Palace,7,6,0,1,0,0,0,3,3,0,0,0,0,0,12:30:00
ENG-Premier League,1819,Brighton,2019-03-30 Brighton-Southampton,2019-03-30,Matchweek 32,Sat,Home,L,0,1,Southampton,22,16,3,1,0,1,1,0,0,0,0,0,0,0,15:00:00
ENG-Premier League,1819,Brighton,2019-04-03 Chelsea-Brighton,2019-04-03,Matchweek 27,Wed,Away,L,0,3,Chelsea,6,4,1,1,0,0,0,0,0,0,0,0,0,0,19:45:00
ENG-Premier League,1819,Brighton,2019-04-13 Brighton-Bournemouth,2019-04-13,Matchweek 34,Sat,Home,L,0,5,Bournemouth,14,12,1,0,0,0,1,0,0,0,0,0,0,0,15:00:00
ENG-Premier League,1819,Brighton,2019-04-16 Brighton-Cardiff City,2019-04-16,Matchweek 31,Tue,Home,L,0,2,Cardiff City,26,17,4,1,1,2,1,0,0,0,0,0,0,0,19:45:00
ENG-Premier League,1819,Brighton,2019-04-20 Wolves-Brighton,2019-04-20,Matchweek 35,Sat,Away,D,0,0,Wolves,7,5,1,1,0,0,0,0,0,0,0,0,0,0,15:00:00
ENG-Premier League,1819,Brighton,2019-04-23 Tottenham-Brighton,2019-04-23,Matchweek 33,Tue,Away,L,0,1,Tottenham,11,5,3,2,0,1,0,0,0,0,0,0,0,0,19:45:00
ENG-Premier League,1819,Brighton,2019-04-27 Brighton-Newcastle Utd,2019-04-27,Matchweek 36,Sat,Home,D,1,1,Newcastle Utd,18,12,3,2,0,1,0,2,2,0,0,0,0,0,17:30:00
ENG-Premier League,1819,Brighton,2019-05-05 Arsenal-Brighton,2019-05-05,Matchweek 37,Sun,Away,D,1,1,Arsenal,18,13,0,1,1,2,1,1,0,0,0,0,1,0,16:30:00
ENG-Premier League,1819,Brighton,2019-05-12 Brighton-Manchester City,2019-05-12,Matchweek 38,Sun,Home,L,1,4,Manchester City,9,4,2,0,1,2,0,2,0,1,0,1,0,0,15:00:00
ENG-Premier League,1819,Burnley,2018-08-12 Southampton-Burnley,2018-08-12,Matchweek 1,Sun,Away,D,0,0,Southampton,28,18,3,0,5,2,0,0,0,0,0,0,0,0,13:30:00
ENG-Premier League,1819,Burnley,2018-08-19 Burnley-Watford,2018-08-19,Matchweek 2,Sun,Home,L,1,3,Watford,15,8,3,0,1,3,0,2,1,1,0,0,0,0,13:30:00
ENG-Premier League,1819,Burnley,2018-08-26 Fulham-Burnley,2018-08-26,Matchweek 3,Sun,Away,L,2,4,Fulham,20,10,3,1,3,3,0,2,0,0,0,2,0,0,16:00:00
ENG-Premier League,1819,Burnley,2018-09-02 Burnley-Manchester Utd,2018-09-02,Matchweek 4,Sun,Home,L,0,2,Manchester Utd,18,14,1,0,1,2,0,0,0,0,0,0,0,0,16:00:00
ENG-Premier League,1819,Burnley,2018-09-16 Wolves-Burnley,2018-09-16,Matchweek 5,Sun,Away,L,0,1,Wolves,13,7,1,3,0,2,0,0,0,0,0,0,0,0,13:30:00
ENG-Premier League,1819,Burnley,2018-09-22 Burnley-Bournemouth,2018-09-22,Matchweek 6,Sat,Home,W,4,0,Bournemouth,21,18,0,0,3,0,0,6,4,0,0,2,0,0,15:00:00
ENG-Premier League,1819,Burnley,2018-09-30 Cardiff City-Burnley,2018-09-30,Matchweek 7,Sun,Away,W,2,1,Cardiff City,6,5,1,0,0,0,0,4,3,1,0,0,0,0,16:00:00
